rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,1944,"Cerillas de seguridad † 
(de carterita, en tiras o con frotador en la caja)",4.1,Sólido inflamable,III,E1,Y455,10 kg,455,25 kg,455,100 kg,A125,3L,"Matches, safety † 
(book, card or strike on box)"
,,1945,Cerillas “Vesta”,4.1,Sólido inflamable,III,E1,Y455,10 kg,455,25 kg,455,100 kg,A125,3L,"Matches, wax vesta"
,,1950,"Aerosoles, inflamables",2.1,Gas inflamable,,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",10L,"Aerosols, flammable"
,,1950,"Aerosoles, inflamables (fluido para arranque de motores)",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,203,150 kg,"A1
A145
A167
A802",10L,"Aerosols, flammable (engine starting fluid)"
,,1950,"Aerosoles, inflamables, que contienen sustancias de la Clase 8, Grupo de Embalaje II",2.1 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10C,"Aerosols, flammable, containing substances in Class 8, Packing Group II"
,,1950,"Aerosoles, inflamables, que contienen sustancias de la Clase 8, Grupo de Embalaje III",2.1 (8),"Gas inflamable
Corrosivo",,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",10C,"Aerosols, flammable, containing substances in Class 8, Packing Group III"
,,1950,"Aerosoles, inflamables, que contienen sustancias de la División 6.1, Grupo de Embalaje II",2.1 (6.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10P,"Aerosols, flammable, containing substances in Division 6.1, Packing Group II"
,,1950,"Aerosoles, inflamables, que contienen sustancias de la División 6.1, Grupo de Embalaje III",2.1 (6.1),"Gas inflamable
Tóxico",,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",10P,"Aerosols, flammable, containing substances in Division 6.1, Packing Group III"
,,1950,"Aerosoles, inflamables, que contienen sustancias de la División 6.1, Grupo de Embalaje III y sustancias de la Clase 8, Grupo de Embalaje III","2.1 (6.1, 8)","Gas inflamable
Tóxico
Corrosivo",,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A145
A167
A802",10CP,"Aerosols, flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III"
,,1950,"Aerosoles, inflamables, que contienen gas tóxico",2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,10P,"Aerosols, flammable, containing toxic gas"
,,1950,"Aerosoles, no inflamables",2.2,Gas no inflamable,,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A98
A145
A167
A802",2L,"Aerosols, non-flammable"
,,1950,"Aerosoles, no inflamables
(que contengan productos biológicos o preparaciones médicas que puedan ser deterioradas por la prueba del calor)",2.2,Gas no inflamable,,E0,Y203,30 kg G,203,75 kg,203,150 kg,"A98
A145
A167
A802",2L,"Aerosols, non-flammable
(containing biological products or a medicinal preparation which will be deteriorated by a heat test)"
,,1950,"Aerosoles, no inflamables (dispositivos para gases lacrimógenos)",2.2 (6.1),"Gas no inflamable
Tóxico",,E0,Prohibido,Prohibido,Prohibido,Prohibido,203,50 kg,"A1
A145
A167
A802",2P,"Aerosols, non-flammable (tear gas devices)"
